项目,值
随机种子数,3
总代数,50
""
最终适应度统计,
均值,1555681.1545167833
标准差,525535.8525683675
最小值,921645.5968507192
最大值,2208527.8811989455
中位数,1536869.9855006852
""
各Seed最终结果,
Seed,Final_Best
0,921645.5968507192
1,2208527.8811989455
2,1536869.9855006852
