项目,值
随机种子数,3
总代数,50
""
最终适应度统计,
均值,140.35489807626433
标准差,9.80940520891146
最小值,128.07293752061133
最大值,152.081729185519
中位数,140.91002752266266
""
各Seed最终结果,
Seed,Final_Best
0,128.07293752061133
1,152.081729185519
2,140.91002752266266
