项目,值
随机种子数,3
总代数,50
""
最终适应度统计,
均值,14.250181615477961
标准差,0.4257713141530306
最小值,13.660526802325546
最大值,14.650613088869994
中位数,14.43940495523834
""
各Seed最终结果,
Seed,Final_Best
0,13.660526802325546
1,14.43940495523834
2,14.650613088869994
