Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Div_Seed_0,Div_Seed_1,Div_Seed_2
15,54450971.026898034,31322927.953039505,0.09977408988991937,39163114.258929014,98100451.75921492,26089347.062550165,0.0867533202062838,0.13448661910299045,0.07808233036048384
16,45622716.71134254,30227778.814155955,0.09394987185248123,34823127.08905108,86842960.51533137,15202062.529645164,0.07933001231388022,0.129234749347825,0.0732848538957385
17,42625077.676668346,27837556.31413528,0.10171193497238407,31874819.318453293,80798351.18190658,15202062.529645164,0.08038486163874187,0.13265266498027695,0.09209827829813341
18,38200668.78046285,24065745.858974587,0.0818838817882882,27973530.215778586,71426413.5959648,15202062.529645164,0.09997873994920835,0.0840282039599795,0.06164470145567678
19,35953673.566423915,22630779.059143875,0.0838050093143995,27712858.69657203,66856444.0215596,13291717.981140107,0.09767995975542931,0.11565268790913054,0.0380823802786387
20,31585147.30545422,16742791.752554033,0.09813995669588378,27712858.69657203,53750865.238650516,13291717.981140107,0.13355960736928538,0.11547433822373201,0.045385924494633995
21,26671868.449838344,12920068.166685294,0.08810169001420783,23790830.569108512,43738230.01372414,12486544.766682383,0.10545893775930731,0.11864137143193085,0.04020476085138536
22,21964967.44570684,12918458.879201071,0.09370618223731753,13178296.286885379,40230061.28355276,12486544.766682383,0.09948018343184477,0.1219805351071309,0.059657828172976914
23,21964967.44570684,12918458.879201071,0.10112643488272803,13178296.286885379,40230061.28355276,12486544.766682383,0.07854469976175674,0.1616114170998601,0.06322318778656724
24,18835731.52684604,9026035.756708218,0.08349751319144673,12629136.754677204,31598874.575394627,12279183.25046629,0.03199964527098521,0.14734598303556343,0.07114691126779156
25,18032849.012082726,9658511.17320958,0.07078330143306533,12629136.754677204,31598874.575394627,9870535.706176352,0.055157047697861644,0.13103453483225536,0.026158321769078983
26,17572302.088372692,9461554.804741822,0.07754933297725106,12600404.410224937,30816582.772729155,9299919.082163991,0.03993018389923222,0.17609804939226859,0.01661976564025235
27,16260593.645734748,10299041.785350773,0.06446638832487815,9427321.406522375,30816582.772729155,8537876.757952716,0.062410797230103926,0.12048283395467992,0.010505533789850583
28,13759100.931569668,7148452.577947515,0.07295368462780258,9427321.406522375,23835573.858344387,8014407.529842244,0.03490906710373935,0.1576452669304652,0.026306719849203148
29,12970507.613280796,6063158.753970671,0.06507013070784906,9388801.464691581,21508313.84530856,8014407.529842244,0.038779925034910775,0.13822871064797948,0.018201756440656927
30,12539692.960408287,6370787.9395249,0.06677324624317535,8799215.847939994,21508313.84530856,7311549.187976311,0.025948708293631544,0.12679718793262987,0.04757384250326463
31,10614110.683495857,4405753.130182112,0.06252599571407806,8564926.453487735,16734448.47109571,6542957.125904127,0.04675911428413047,0.09996071946417244,0.04085815339393128
32,10154464.509894667,4660829.1457093945,0.057902050520666985,7432027.269495526,16714360.2783991,6317005.981789376,0.030691008059312554,0.11989051662720256,0.02312462687548583
33,9050508.11850285,4345789.083007447,0.05475975121930962,7185200.443277349,15054581.34210003,4911742.5701311715,0.03237413036258393,0.11088357555384164,0.02102154774150331
34,6628110.815985295,1882799.2323367954,0.04172409458932393,6418673.541466523,9031633.804415883,4434025.102073479,0.04699495755436328,0.04040249921327514,0.03777482700033338
35,5705894.849075355,1939298.025913653,0.039692105946311125,4747390.780719729,8410516.001664352,3959777.764841983,0.050507050650384896,0.015335097969688592,0.05323416921885991
36,4924843.340167337,1427735.0057314667,0.04097683264826934,4317218.581998959,6896209.312043122,3561102.1264599287,0.05473098180124215,0.02768404842430036,0.04051546771926552
37,4749709.063671477,1473197.0514293131,0.04555085279928726,4154950.1488440195,6776296.635637929,3317880.406532483,0.05275319165141566,0.05289199786627819,0.031007368880167904
38,4426497.7688508015,1034025.4581652263,0.040907200308067215,4154950.1488440195,5806662.751175902,3317880.406532483,0.04653063963659426,0.024790368711409137,0.051400592576198244
39,3958911.8854799527,882533.5406869139,0.044263722937199275,4115097.516070341,4953200.864255267,2808437.2761142496,0.04643588139947808,0.030575457576767405,0.05577982983535235
