Generation,Best_Mean,Best_Std,Div_Mean,Best_Seed_0,Best_Seed_1,Best_Seed_2,Div_Seed_0,Div_Seed_1,Div_Seed_2
0,435.9096167847802,12.920799022614025,0.0,454.1406333692495,427.8632655421786,425.7249514429125,0.0,0.0,0.0
1,408.4650123686545,14.962419912865444,0.0,425.77924605340417,410.34231522580666,389.2734758267529,0.0,0.0,0.0
2,365.2132219684568,17.09287048950446,0.0,351.16382027786074,355.20236980075686,389.2734758267529,0.0,0.0,0.0
3,354.20119029343863,3.22665615030367,0.0,349.8450597782217,355.20236980075686,357.55614130133716,0.0,0.0,0.0
4,331.9045046809296,11.990871708216048,0.0,316.87174569774504,346.21673765089065,332.6250306941532,0.0,0.0,0.0
5,322.42753178085917,11.141470217138641,0.0,306.88909911409996,327.9348085495015,332.45868767897605,0.0,0.0,0.0
6,307.071944007544,8.652231675094168,0.0,301.15068859492555,319.30595945475767,300.7591839729488,0.0,0.0,0.0
7,284.8975420379415,13.700609667929541,0.0,268.93539469903396,302.3900534093256,283.367178005465,0.0,0.0,0.0
8,268.55848190628444,15.030443166532393,0.0,248.9612944065089,285.4868732863663,271.22727802597825,0.0,0.0,0.0
9,257.0182541167397,12.801497047006096,0.0,248.9612944065089,275.08708796089496,247.0063799828153,0.0,0.0,0.0
10,229.87731749287505,11.08654401949591,0.0,214.43740426226708,235.23634272039925,239.9582054959588,0.0,0.0,0.0
11,222.84473655107195,19.405329615308474,0.0,195.44312533216427,235.23634272039925,237.8547416006523,0.0,0.0,0.0
12,210.77108768421394,16.632316926915816,0.0,192.93808063340072,232.9706196361613,206.4045627830797,0.0,0.0,0.0
13,197.00852562942396,20.098207413581854,0.0,169.07921831920083,215.54179578599124,206.4045627830797,0.0,0.0,0.0
14,192.4951021584449,18.970064176199386,0.0,169.07921831920083,215.54179578599124,192.86429237014266,0.0,0.0,0.0
15,186.29713563842654,19.41381689110276,0.0,160.58795160595136,207.4957567599671,190.8076985493611,0.0,0.0,0.0
16,176.04662814380893,24.048109195762265,0.0,144.7620915635718,203.2398990768504,180.13789379100461,0.0,0.0,0.0
17,165.6517173102122,17.89425500829393,0.0,144.7620915635718,188.46682506994284,163.72623529712192,0.0,0.0,0.0
18,160.42163534104705,11.673136239793125,0.005378641120506768,144.7620915635718,172.7765791624475,163.72623529712192,0.0,0.015526127060970384,0.0006097963005499193
19,154.70338483571106,10.616437650027361,0.015875628449605942,144.7620915635718,169.41780582381526,149.9302571197461,0.0,0.01932537806295266,0.02830150728586516
20,147.1431739584533,15.734463867777768,0.01723949008688583,129.22253042809473,167.52706484203728,144.67992660522793,0.0,0.0,0.0517184702606575
21,143.79684407860293,15.37486421741985,0.014754249594532053,124.6712656129323,162.31724799511676,144.4020186277597,0.0,0.0,0.04426274878359616
22,136.55327618011106,9.204698412292338,0.01478516429096739,124.6712656129323,147.09896146919212,137.88960145820877,0.0,0.0,0.04435549287290217
23,134.97897905759575,9.45223181851578,0.005543666249880883,124.03569497880815,147.09896146919212,133.80228072478698,0.0,0.012867980423375235,0.0037630183262674153
24,133.14057265421528,11.67649646117583,0.007135133738207931,118.52047576866678,147.09896146919212,133.80228072478698,0.009066317615742251,0.007536971449783262,0.00480211214909828
25,129.7284618225838,8.023118528796193,0.00675722009177664,118.52047576866678,136.8626289742976,133.80228072478698,0.02027166027532992,0.0,0.0
26,126.14781671944134,5.3933995602453315,0.0062746770609482805,118.52047576866678,129.93164192451823,129.991332465139,0.013264249214379919,0.0,0.005559781968464922
27,117.08241027101718,10.0286873456123,0.005792048988556307,105.4582955020544,129.93164192451823,115.85729338647891,0.017376146965668922,0.0,0.0
