项目,值
随机种子数,10
总代数,200
""
最终适应度统计,
均值,3.5260776309529747
标准差,0.2904693806660006
最小值,3.0000145300383463
最大值,3.833469565562855
中位数,3.5860847661083874
""
各Seed最终结果,
Seed,Final_Best
0,3.545109659779311
1,3.8233533270713917
2,3.833469565562855
3,3.8115655893962352
4,3.404321273807192
5,3.2391993144089466
6,3.627059872437464
7,3.7982486564360234
8,3.0000145300383463
9,3.1784345205919746
